Product,Category,Cost,Discount,Quantity,SalesDate,CustomerID,CustomerReview,SalesPrice
Coffee Maker,Store,406.76,4.21,10,2023-10-01,Customer_2,8052,389.635404
Coffee Maker,Store,86.0,1.98,1,2023-09-30,Customer_3,4118,84.2972
Yoga Mat,Promotions,419.11,9.68,2,2023-10-11,Customer_1,7146,378.54015200000003
Air Purifier,Promotions,469.66,1.81,3,2023-10-29,Customer_2,9947,461.159154
Microwave,Gifts,137.31,8.91,9,2023-10-19,Customer_3,4343,125.07567900000001
Backpack,Gifts,373.98,9.01,9,2023-11-01,Customer_1,5565,340.284402
Coffee Maker,Store,448.25,6.14,1,2023-11-01,Customer_2,6852,420.72745
Digital Camera,Gifts,226.11,4.1,8,2023-10-28,Customer_3,3309,216.83949
Microwave,Online,147.65,9.63,9,2023-10-20,Customer_1,674,133.431305
Bluetooth Speaker,Gifts,379.15,4.18,9,2023-10-05,Customer_2,2415,363.30152999999996
Coffee Maker,Store,426.32,7.14,1,2023-10-19,Customer_3,7226,395.880752
Headphones,Gifts,109.37,8.85,4,2023-11-10,Customer_1,1134,99.69075500000001
Coffee Maker,Promotions,250.58,2.52,7,2023-10-27,Customer_2,183,244.265384
Desk Lamp,Store,379.03,1.18,4,2023-10-12,Customer_3,5227,374.55744599999997
Sunglasses,Online,83.33,3.24,4,2023-10-21,Customer_1,9843,80.63010799999999
Smartphone,Store,115.1,3.24,6,2023-10-24,Customer_2,7818,111.37075999999999
Desk Lamp,Promotions,459.95,7.73,8,2023-11-06,Customer_3,8768,424.39586499999996
Digital Camera,Gifts,286.95,7.54,7,2023-10-15,Customer_1,7884,265.31397
Laptop,Online,173.83,2.63,6,2023-10-07,Customer_2,3281,169.258271
Backpack,Promotions,450.8,2.46,7,2023-09-22,Customer_3,4276,439.71032
Laptop,Promotions,327.5,1.47,4,2023-10-22,Customer_1,2404,322.68575
Backpack,Store,128.68,2.78,8,2023-10-02,Customer_2,3533,125.10269600000001
Cookware Set,Promotions,440.21,1.22,10,2023-09-18,Customer_3,8794,434.839438
Air Purifier,Promotions,309.46,1.03,8,2023-10-25,Customer_1,6551,306.272562
Microwave,Store,55.78,7.9,10,2023-09-21,Customer_2,7819,51.37338
Bluetooth Speaker,Promotions,406.59,3.22,2,2023-11-04,Customer_3,4059,393.497802
Bluetooth Speaker,Online,269.16,7.17,7,2023-10-23,Customer_1,1098,249.86122800000004
Cookware Set,Online,366.67,1.27,3,2023-11-04,Customer_2,5285,362.01329100000004
Coffee Maker,Store,119.52,2.07,10,2023-10-15,Customer_3,2772,117.045936
Cookware Set,Online,472.77,7.03,3,2023-09-30,Customer_1,6555,439.534269
Sunglasses,Gifts,364.64,2.28,4,2023-11-07,Customer_2,7270,356.326208
Digital Camera,Online,72.76,3.5,7,2023-09-17,Customer_3,9544,70.21340000000001
Headphones,Promotions,53.58,3.68,10,2023-10-30,Customer_1,723,51.608256
Laptop,Gifts,192.94,6.9,1,2023-10-17,Customer_2,3444,179.62714
Running Shoes,Store,481.79,1.57,3,2023-11-10,Customer_3,9385,474.22589700000003
Sunglasses,Store,81.78,4.99,6,2023-10-26,Customer_1,7850,77.699178
Running Shoes,Promotions,410.95,4.84,4,2023-11-03,Customer_2,3561,391.06002
Yoga Mat,Promotions,221.8,7.01,9,2023-10-14,Customer_3,9824,206.25182
Digital Camera,Gifts,264.55,2.61,5,2023-10-06,Customer_1,9720,257.645245
Cookware Set,Promotions,436.54,7.31,8,2023-10-11,Customer_2,6191,404.62892600000004
Candle Holder,Promotions,225.9,6.61,3,2023-10-18,Customer_3,1947,210.96801
Desk Lamp,Gifts,416.77,8.69,2,2023-10-12,Customer_1,2994,380.552687
Air Purifier,Online,484.52,3.0,1,2023-10-23,Customer_2,8143,469.9844
Microwave,Promotions,135.94,1.67,3,2023-10-05,Customer_3,458,133.669802
Yoga Mat,Gifts,68.17,4.74,1,2023-10-04,Customer_1,5938,64.938742
Candle Holder,Online,68.21,4.38,8,2023-10-01,Customer_2,2582,65.22240199999999
Sunglasses,Gifts,462.91,1.49,4,2023-11-10,Customer_3,8938,456.01264100000003
T-shirt,Store,131.02,6.82,4,2023-09-24,Customer_1,4852,122.08443600000001
Digital Camera,Promotions,381.46,4.84,5,2023-10-30,Customer_2,5700,362.99733599999996
Novel,Store,255.99,4.68,8,2023-09-15,Customer_3,6001,244.009668
Travel Mug,Online,325.98,7.97,7,2023-10-07,Customer_1,658,299.999394
Running Shoes,Store,456.3,8.12,1,2023-09-23,Customer_2,3405,419.24844
Smartphone,Online,213.94,6.75,9,2023-10-27,Customer_3,3660,199.49905
Headphones,Gifts,298.99,5.94,9,2023-11-13,Customer_1,2036,281.22999400000003
Laptop,Gifts,269.67,1.76,10,2023-10-05,Customer_2,2702,264.923808
Cookware Set,Online,229.63,2.59,6,2023-09-21,Customer_3,8030,223.682583
Digital Camera,Promotions,283.84,8.32,9,2023-09-15,Customer_1,9222,260.224512
Backpack,Store,411.8,2.55,4,2023-10-31,Customer_2,9039,401.2991
Candle Holder,Gifts,433.36,1.87,2,2023-09-26,Customer_3,7261,425.256168
Running Shoes,Promotions,280.35,2.23,5,2023-09-25,Customer_1,5855,274.09819500000003
Desk Lamp,Gifts,414.18,2.41,6,2023-10-05,Customer_2,7245,404.198262
Travel Mug,Online,350.82,7.85,5,2023-10-20,Customer_3,5438,323.28063
T-shirt,Gifts,125.21,6.62,2,2023-10-20,Customer_1,7024,116.921098
Novel,Gifts,336.31,2.92,2,2023-11-06,Customer_2,7292,326.489748
Air Purifier,Online,166.28,8.86,5,2023-10-02,Customer_3,2617,151.547592
Microwave,Gifts,254.63,6.17,4,2023-11-01,Customer_1,3003,238.919329
Smartphone,Store,324.89,3.62,4,2023-10-11,Customer_2,3905,313.128982
Candle Holder,Store,348.9,9.41,10,2023-09-23,Customer_3,6565,316.06850999999995
Backpack,Promotions,415.7,8.09,1,2023-11-13,Customer_1,1992,382.06987
Bluetooth Speaker,Online,439.79,6.17,8,2023-11-04,Customer_2,8625,412.654957
Bluetooth Speaker,Store,212.53,1.26,5,2023-09-25,Customer_3,5511,209.852122
Yoga Mat,Store,203.91,1.8,1,2023-09-18,Customer_1,4129,200.23962
Bluetooth Speaker,Gifts,385.58,3.96,7,2023-09-27,Customer_2,247,370.311032
Novel,Online,193.0,4.47,10,2023-10-02,Customer_3,7246,184.37290000000002
Sunglasses,Gifts,138.46,9.1,2,2023-09-27,Customer_1,5988,125.86014
Fitness Tracker,Gifts,215.43,9.42,8,2023-11-09,Customer_2,3548,195.136494
Travel Mug,Online,413.27,9.75,7,2023-11-08,Customer_3,1826,372.976175
Smartphone,Online,196.64,1.21,1,2023-10-08,Customer_1,5793,194.26065599999998
Travel Mug,Store,485.34,8.87,7,2023-10-07,Customer_2,8697,442.290342
Fitness Tracker,Promotions,89.5,9.36,9,2023-11-07,Customer_3,5831,81.1228
Running Shoes,Promotions,326.74,9.34,7,2023-09-24,Customer_1,2679,296.222484
Digital Camera,Gifts,214.45,5.73,9,2023-09-17,Customer_2,2658,202.162015
Smartphone,Online,217.5,7.35,9,2023-11-01,Customer_3,4402,201.51375
Digital Camera,Gifts,456.53,5.06,1,2023-10-31,Customer_1,5138,433.429582
Headphones,Store,443.78,4.55,8,2023-10-24,Customer_2,904,423.58801
Bluetooth Speaker,Store,487.82,1.11,2,2023-09-18,Customer_3,7291,482.405198
Desk Lamp,Online,57.96,1.15,1,2023-09-18,Customer_1,6830,57.29346
Backpack,Store,219.67,9.94,8,2023-09-15,Customer_2,5814,197.834802
Laptop,Online,187.41,7.99,6,2023-11-13,Customer_3,9406,172.43594099999999
Running Shoes,Online,398.56,2.95,1,2023-10-14,Customer_1,7899,386.80248
Cookware Set,Online,213.63,6.93,3,2023-10-06,Customer_2,5589,198.82544099999998
Running Shoes,Gifts,295.08,8.51,2,2023-10-13,Customer_3,438,269.968692
Running Shoes,Gifts,101.95,5.04,5,2023-10-04,Customer_1,7438,96.81172000000001
Running Shoes,Gifts,113.88,9.39,10,2023-10-21,Customer_2,4634,103.186668
Air Purifier,Gifts,300.95,3.96,6,2023-10-03,Customer_3,874,289.03238
Smartphone,Gifts,492.25,4.54,2,2023-10-18,Customer_1,7960,469.90185
Gaming Console,Gifts,235.03,6.99,2,2023-11-02,Customer_2,1343,218.601403
Headphones,Store,171.9,7.91,4,2023-09-23,Customer_3,1509,158.30271
Gaming Console,Store,230.03,4.9,10,2023-10-17,Customer_1,5278,218.75853
Yoga Mat,Gifts,350.83,7.94,10,2023-11-04,Customer_2,5589,322.97409799999997
Headphones,Promotions,148.44,2.8,9,2023-10-28,Customer_3,282,144.28368
Backpack,Online,73.03,4.27,1,2023-10-10,Customer_1,1140,69.911619
Digital Camera,Promotions,349.46,5.64,3,2023-09-22,Customer_2,2884,329.750456
Smartphone,Online,260.1,9.02,9,2023-11-10,Customer_3,7034,236.63898
Fitness Tracker,Promotions,338.33,2.01,1,2023-09-26,Customer_1,2819,331.529567
Fitness Tracker,Promotions,392.45,1.61,5,2023-09-23,Customer_2,3899,386.131555
Fitness Tracker,Gifts,406.74,2.23,1,2023-09-27,Customer_3,9281,397.669698
Travel Mug,Store,218.55,5.48,2,2023-10-06,Customer_1,1404,206.57346
Laptop,Online,413.35,3.07,2,2023-10-17,Customer_2,8184,400.66015500000003
Smartphone,Store,136.57,8.55,8,2023-10-24,Customer_3,3067,124.89326499999999
Sunglasses,Store,350.63,2.04,2,2023-09-19,Customer_1,5102,343.477148
Backpack,Promotions,211.84,1.34,6,2023-11-07,Customer_2,501,209.00134400000002
Digital Camera,Online,451.67,2.51,3,2023-09-23,Customer_3,2550,440.33308300000004
Air Purifier,Gifts,406.15,4.19,7,2023-11-09,Customer_1,6382,389.13231499999995
Gaming Console,Gifts,465.08,3.76,6,2023-09-23,Customer_2,6242,447.592992
Yoga Mat,Store,113.57,3.45,10,2023-09-19,Customer_3,9087,109.65183499999999
Microwave,Promotions,193.93,2.69,4,2023-11-06,Customer_1,5423,188.71328300000002
Desk Lamp,Store,245.97,3.67,6,2023-10-13,Customer_2,8869,236.942901
Bluetooth Speaker,Promotions,420.61,1.85,1,2023-10-28,Customer_3,5601,412.828715
Digital Camera,Online,371.92,5.69,4,2023-11-11,Customer_1,5184,350.757752
Microwave,Store,72.52,2.66,6,2023-11-03,Customer_2,6778,70.59096799999999
Coffee Maker,Gifts,248.63,1.64,4,2023-10-01,Customer_3,6247,244.552468
Laptop,Gifts,402.04,2.73,1,2023-11-10,Customer_1,482,391.06430800000004
T-shirt,Store,364.69,1.88,1,2023-09-22,Customer_2,4314,357.833828
Cookware Set,Gifts,73.35,2.92,10,2023-11-10,Customer_3,1668,71.20818
Yoga Mat,Gifts,462.93,2.06,8,2023-11-10,Customer_1,5783,453.393642
Headphones,Store,140.88,8.74,4,2023-11-12,Customer_2,5556,128.56708799999998
Air Purifier,Promotions,291.48,5.96,3,2023-11-04,Customer_3,7582,274.107792
Sunglasses,Online,432.5,2.64,8,2023-11-05,Customer_1,2819,421.082
Bluetooth Speaker,Gifts,375.68,5.46,4,2023-10-23,Customer_2,9146,355.167872
Cookware Set,Online,453.38,8.03,8,2023-11-11,Customer_3,7066,416.973586
T-shirt,Gifts,369.17,8.28,9,2023-09-26,Customer_1,1100,338.602724
Candle Holder,Gifts,209.75,4.12,1,2023-10-02,Customer_2,5186,201.10829999999999
Microwave,Gifts,139.2,8.4,6,2023-10-31,Customer_3,2478,127.50719999999998
T-shirt,Online,307.4,9.45,1,2023-10-14,Customer_1,64,278.35069999999996
Running Shoes,Gifts,239.24,8.35,2,2023-09-29,Customer_2,9945,219.26346
Laptop,Promotions,192.58,9.52,1,2023-09-16,Customer_3,2288,174.246384
Fitness Tracker,Promotions,260.24,7.93,1,2023-09-27,Customer_1,7018,239.602968
Cookware Set,Promotions,181.08,9.41,4,2023-10-03,Customer_2,9179,164.04037200000002
Travel Mug,Online,213.57,3.76,1,2023-10-01,Customer_3,1913,205.53976799999998
Coffee Maker,Store,450.82,5.83,9,2023-09-19,Customer_1,1317,424.537194
Air Purifier,Promotions,423.27,9.03,7,2023-11-11,Customer_2,3937,385.048719
Backpack,Promotions,109.04,7.15,2,2023-10-28,Customer_3,6142,101.24364
Digital Camera,Gifts,447.44,1.58,9,2023-09-18,Customer_1,1775,440.370448
Yoga Mat,Promotions,261.3,4.64,4,2023-11-10,Customer_2,1911,249.17568
Running Shoes,Online,342.5,2.74,1,2023-09-21,Customer_3,1722,333.1155
T-shirt,Gifts,283.65,2.42,6,2023-11-03,Customer_1,941,276.78567
Air Purifier,Store,396.69,2.94,4,2023-10-11,Customer_2,2771,385.027314
Smartphone,Gifts,267.96,8.14,10,2023-10-14,Customer_3,1113,246.148056
Microwave,Store,222.88,5.51,1,2023-09-22,Customer_1,8332,210.599312
T-shirt,Promotions,459.14,7.52,2,2023-10-12,Customer_2,7195,424.612672
Laptop,Online,129.54,6.52,8,2023-11-03,Customer_3,1761,121.09399199999999
Gaming Console,Promotions,121.24,9.48,2,2023-10-10,Customer_1,4599,109.746448
Running Shoes,Online,113.42,9.2,9,2023-09-27,Customer_2,3261,102.98536
Laptop,Online,354.71,2.05,5,2023-09-20,Customer_3,9596,347.438445
Laptop,Promotions,154.5,7.25,7,2023-11-11,Customer_1,9918,143.29875
Laptop,Promotions,414.83,3.36,7,2023-11-04,Customer_2,7343,400.891712
Yoga Mat,Online,499.14,8.62,8,2023-11-08,Customer_3,322,456.114132
Cookware Set,Promotions,399.63,6.86,9,2023-11-11,Customer_1,8792,372.215382
T-shirt,Store,397.83,2.67,1,2023-11-13,Customer_2,1676,387.207939
Sunglasses,Gifts,462.27,5.18,10,2023-10-13,Customer_3,8254,438.324414
T-shirt,Promotions,399.27,1.29,6,2023-10-01,Customer_1,4017,394.119417
Smartphone,Online,325.79,3.56,10,2023-10-28,Customer_2,8033,314.19187600000004
Laptop,Gifts,439.97,4.15,10,2023-10-21,Customer_3,9019,421.711245
Sunglasses,Store,483.05,8.99,1,2023-10-28,Customer_1,7164,439.623805
Candle Holder,Gifts,228.58,4.98,10,2023-11-07,Customer_2,5723,217.196716
Microwave,Store,63.56,2.99,7,2023-10-25,Customer_3,9274,61.659556
Yoga Mat,Promotions,417.8,2.42,4,2023-10-06,Customer_1,390,407.68924
Smartphone,Promotions,443.39,6.25,2,2023-09-23,Customer_2,206,415.67812499999997
Travel Mug,Store,164.34,2.86,5,2023-10-08,Customer_3,9284,159.63987600000002
Microwave,Store,161.74,7.41,1,2023-11-12,Customer_1,6048,149.755066
Fitness Tracker,Online,467.59,8.55,2,2023-10-12,Customer_2,9853,427.61105499999996
Backpack,Online,497.93,6.15,8,2023-10-07,Customer_3,3257,467.307305
Bluetooth Speaker,Online,109.06,3.78,6,2023-10-16,Customer_1,4095,104.937532
T-shirt,Store,206.58,8.59,6,2023-10-23,Customer_2,498,188.834778
Fitness Tracker,Gifts,185.26,7.28,3,2023-10-28,Customer_3,8681,171.77307199999998
Cookware Set,Gifts,481.15,8.07,7,2023-09-15,Customer_1,1074,442.321195
Microwave,Store,411.35,7.54,9,2023-10-02,Customer_2,6807,380.33421000000004
Running Shoes,Online,235.4,8.75,1,2023-10-07,Customer_3,3458,214.8025
Coffee Maker,Online,148.07,3.57,1,2023-10-24,Customer_1,7317,142.783901
Gaming Console,Online,354.94,6.04,7,2023-10-05,Customer_2,2089,333.501624
Air Purifier,Promotions,427.85,6.98,10,2023-09-15,Customer_3,218,397.98607000000004
Microwave,Gifts,497.36,9.78,2,2023-10-14,Customer_1,6714,448.71819200000004
Headphones,Online,401.28,4.47,5,2023-10-31,Customer_2,2419,383.342784
Air Purifier,Promotions,410.43,8.3,8,2023-10-27,Customer_3,4883,376.36431
Smartphone,Store,158.89,7.12,9,2023-10-14,Customer_1,7016,147.57703199999997
Bluetooth Speaker,Online,105.52,7.73,8,2023-09-27,Customer_2,6829,97.363304
Sunglasses,Store,219.11,8.72,9,2023-10-20,Customer_3,2052,200.003608
Backpack,Promotions,312.36,3.39,4,2023-10-07,Customer_1,8073,301.770996
Digital Camera,Online,98.01,9.65,9,2023-10-26,Customer_2,7253,88.552035
Smartphone,Store,327.72,3.07,3,2023-10-15,Customer_3,402,317.658996
Headphones,Gifts,137.83,4.17,9,2023-11-07,Customer_1,3961,132.082489
Travel Mug,Online,297.24,4.63,4,2023-10-04,Customer_2,94,283.47778800000003
Running Shoes,Store,295.93,2.11,7,2023-10-13,Customer_3,83,289.685877
Sunglasses,Gifts,478.81,5.85,7,2023-09-24,Customer_1,4847,450.799615
Yoga Mat,Gifts,318.0,9.36,8,2023-09-22,Customer_2,4837,288.2352
Microwave,Promotions,257.97,9.6,2,2023-11-01,Customer_3,7185,233.20488000000003
Running Shoes,Store,407.97,3.0,1,2023-09-23,Customer_1,3909,395.7309
Air Purifier,Online,193.37,2.7,5,2023-10-28,Customer_2,9132,188.14901
Headphones,Online,254.84,2.49,5,2023-09-16,Customer_3,4228,248.494484
Bluetooth Speaker,Store,73.18,3.46,3,2023-09-24,Customer_1,2350,70.64797200000001
Sunglasses,Promotions,129.83,4.05,9,2023-11-05,Customer_2,887,124.57188500000001
Novel,Gifts,125.54,6.14,6,2023-11-10,Customer_3,3189,117.831844
Microwave,Gifts,81.64,2.79,3,2023-11-08,Customer_1,1363,79.362244
Fitness Tracker,Store,487.36,7.63,3,2023-09-29,Customer_2,9375,450.174432
Fitness Tracker,Store,145.06,6.91,9,2023-10-05,Customer_3,6361,135.03635400000002
Headphones,Gifts,400.83,5.76,9,2023-10-07,Customer_1,4741,377.742192
Candle Holder,Gifts,312.99,5.8,9,2023-11-09,Customer_2,9239,294.83658
Air Purifier,Promotions,309.94,2.93,3,2023-10-29,Customer_3,2888,300.858758
Coffee Maker,Store,196.91,8.81,2,2023-09-23,Customer_1,1454,179.562229
T-shirt,Gifts,176.94,3.26,7,2023-09-15,Customer_2,2784,171.171756
T-shirt,Online,432.17,9.02,4,2023-10-05,Customer_3,7757,393.188266
Microwave,Store,95.49,8.64,1,2023-10-03,Customer_1,5110,87.23966399999999
Cookware Set,Store,292.82,1.41,3,2023-10-15,Customer_2,89,288.691238
Sunglasses,Gifts,327.63,2.22,4,2023-09-29,Customer_3,3439,320.356614
Backpack,Promotions,282.74,4.58,6,2023-11-05,Customer_1,5639,269.790508
Yoga Mat,Store,233.23,3.91,3,2023-10-20,Customer_2,5824,224.110707
Sunglasses,Gifts,122.55,4.64,1,2023-10-12,Customer_3,7828,116.86368
Coffee Maker,Online,496.4,8.91,8,2023-10-16,Customer_1,8237,452.17076
Travel Mug,Store,406.52,4.72,1,2023-11-04,Customer_2,5635,387.332256
Headphones,Gifts,447.72,8.75,9,2023-10-26,Customer_3,3032,408.5445
Sunglasses,Store,474.86,4.42,10,2023-10-04,Customer_1,4691,453.871188
Cookware Set,Gifts,368.05,9.9,8,2023-10-12,Customer_2,7795,331.61305
Yoga Mat,Online,98.39,6.24,2,2023-10-15,Customer_3,9642,92.250464
Backpack,Online,442.48,8.29,1,2023-09-21,Customer_1,4504,405.798408
Novel,Store,459.69,1.82,6,2023-09-21,Customer_2,2376,451.323642
Digital Camera,Gifts,276.66,8.27,6,2023-11-08,Customer_3,4125,253.78021800000002
Running Shoes,Online,126.79,1.48,3,2023-10-21,Customer_1,557,124.91350800000001
Candle Holder,Gifts,159.81,1.79,2,2023-09-28,Customer_2,9037,156.949401
Sunglasses,Store,221.38,1.45,4,2023-10-30,Customer_3,4820,218.16998999999998
Sunglasses,Gifts,106.04,3.32,10,2023-11-08,Customer_1,1832,102.51947200000001
Laptop,Online,65.2,2.68,4,2023-10-06,Customer_2,6096,63.45264
Bluetooth Speaker,Gifts,165.85,8.41,8,2023-10-31,Customer_3,7986,151.902015
Headphones,Online,298.96,6.78,9,2023-09-23,Customer_1,5794,278.69051199999996
Air Purifier,Gifts,411.18,9.37,5,2023-10-17,Customer_2,3799,372.652434
Digital Camera,Online,402.77,1.76,8,2023-09-18,Customer_3,8289,395.681248
Air Purifier,Promotions,276.46,9.78,4,2023-10-09,Customer_1,8353,249.42221199999997
Bluetooth Speaker,Store,290.06,8.52,3,2023-10-23,Customer_2,7906,265.346888
Yoga Mat,Store,467.93,9.74,3,2023-09-15,Customer_3,4545,422.353618
Fitness Tracker,Online,238.62,1.16,8,2023-10-17,Customer_1,7286,235.852008
T-shirt,Store,138.25,7.88,2,2023-10-17,Customer_2,4933,127.35589999999999
Headphones,Store,275.24,3.74,4,2023-10-20,Customer_3,2594,264.946024
Running Shoes,Store,176.0,3.17,8,2023-11-11,Customer_1,3941,170.4208
Smartphone,Online,385.58,9.49,1,2023-10-18,Customer_2,8402,348.988458
Microwave,Online,440.59,2.02,4,2023-11-03,Customer_3,4918,431.69008199999996
Running Shoes,Gifts,266.12,6.79,6,2023-11-11,Customer_1,7463,248.050452
Bluetooth Speaker,Promotions,242.0,8.26,8,2023-10-17,Customer_2,4442,222.01080000000002
Cookware Set,Promotions,77.48,5.9,10,2023-11-10,Customer_3,4428,72.90868
Travel Mug,Store,239.23,9.7,9,2023-09-30,Customer_1,1855,216.02469
Cookware Set,Store,97.71,5.28,2,2023-10-21,Customer_2,539,92.550912
T-shirt,Promotions,482.73,8.95,7,2023-10-24,Customer_3,1961,439.525665
T-shirt,Store,179.76,5.76,5,2023-09-25,Customer_1,323,169.405824
Candle Holder,Gifts,195.95,6.41,4,2023-10-11,Customer_2,7342,183.389605
Candle Holder,Store,200.25,9.78,7,2023-11-12,Customer_3,7098,180.66555
Headphones,Gifts,369.76,6.1,8,2023-11-09,Customer_1,6508,347.20464
Gaming Console,Gifts,401.7,5.46,8,2023-11-09,Customer_2,139,379.76718
Novel,Promotions,264.46,3.1,6,2023-10-11,Customer_3,679,256.26174
Novel,Promotions,444.9,8.07,10,2023-11-03,Customer_1,301,408.99656999999996
Smartphone,Online,249.57,7.62,5,2023-10-27,Customer_2,105,230.552766
Gaming Console,Promotions,361.42,3.04,3,2023-09-26,Customer_3,5226,350.432832
Digital Camera,Online,234.86,4.31,6,2023-10-02,Customer_1,5523,224.737534
Sunglasses,Store,176.14,8.11,4,2023-10-03,Customer_2,7383,161.855046
Gaming Console,Gifts,398.0,8.41,4,2023-11-07,Customer_3,4766,364.52819999999997
Microwave,Promotions,213.01,9.74,4,2023-10-29,Customer_1,3693,192.262826
Air Purifier,Promotions,290.06,6.53,9,2023-10-17,Customer_2,9458,271.119082
T-shirt,Online,86.61,7.44,9,2023-11-06,Customer_3,4931,80.16621599999999
Novel,Online,396.33,3.92,10,2023-09-17,Customer_1,6911,380.793864
Novel,Store,326.47,6.25,7,2023-11-03,Customer_2,8770,306.065625
Travel Mug,Gifts,191.76,5.44,6,2023-09-20,Customer_3,9596,181.32825599999998
Cookware Set,Gifts,91.6,9.11,10,2023-10-11,Customer_1,4710,83.25524
Travel Mug,Promotions,119.66,3.08,1,2023-10-24,Customer_2,7494,115.97447199999999
Gaming Console,Promotions,64.7,6.13,8,2023-10-23,Customer_3,5618,60.73389
Smartphone,Gifts,155.84,2.52,4,2023-11-06,Customer_1,2806,151.912832
Travel Mug,Store,123.55,5.83,3,2023-09-22,Customer_2,4651,116.34703499999999
Travel Mug,Promotions,257.58,4.68,7,2023-11-06,Customer_3,8779,245.52525599999998
Running Shoes,Store,236.91,5.43,9,2023-11-10,Customer_1,7276,224.045787
Smartphone,Promotions,441.55,4.9,2,2023-11-03,Customer_2,2913,419.91405000000003
Yoga Mat,Promotions,234.47,8.31,7,2023-10-12,Customer_3,9197,214.985543
Running Shoes,Online,104.82,6.85,5,2023-10-23,Customer_1,5969,97.63982999999999
Novel,Promotions,51.8,1.66,4,2023-11-06,Customer_2,5952,50.94012
Candle Holder,Promotions,217.1,3.64,3,2023-11-12,Customer_3,8636,209.19755999999998
Headphones,Online,414.67,4.41,4,2023-10-29,Customer_1,3239,396.383053
T-shirt,Gifts,144.35,3.09,6,2023-11-09,Customer_2,3199,139.88958499999998
Fitness Tracker,Gifts,428.57,5.77,9,2023-09-26,Customer_3,401,403.84151099999997
T-shirt,Promotions,219.79,6.45,1,2023-09-21,Customer_1,3631,205.613545
Headphones,Promotions,430.68,9.71,3,2023-11-03,Customer_2,5209,388.860972
T-shirt,Gifts,130.66,5.05,10,2023-10-06,Customer_3,1123,124.06166999999999
Backpack,Online,112.22,7.96,9,2023-10-27,Customer_1,7055,103.287288
Fitness Tracker,Promotions,279.8,2.69,2,2023-11-10,Customer_2,6071,272.27338000000003
Gaming Console,Store,458.56,3.77,2,2023-10-11,Customer_3,9444,441.272288
Gaming Console,Promotions,394.21,4.38,2,2023-10-15,Customer_1,9903,376.943602
